,Question,Answer
345,ما هي السورة التي تبدأ ب(المر)؟, سورة الرعد
346,ما هي عدة الأرملة غير الحامل؟, 4 أشهر و 10 أيام
347,من هو النبي الذي صام عن الكلام ثلاثة أيام؟, زكريا عليه السلام
348,من أي أبواب الجنة يدخل الصائمون يوم القيامة؟, الريان
349,كم عدد السور التي بدأت ب(الحمدلله)؟, 5 سور
350,ما هي السورة التي يطلق عليها قلب القرآن؟, سورة يس
351,كم عدد السور التي تبدأ ب(حم)؟, 7
352,لمن أرسل النبي هود؟, عاد
353,ما هي السورة التي يوجد بها بسملتين؟, سورة النمل
354,ما السورة التي ابتدأت باسم ثمرتين؟, التين
355,ما هو عدد حملة العرش في القرآن الكريم؟, 8
356,في أي سورة ذكرت قصة هابيل وقابيل؟, سورة المائدة
357,لمن أرسل النبي صالح؟, ثمود
358,كم عدد السور في القرآن الكريم؟, 114 سورة
359,ما هي السورة التي وردت فيها سجدتين في القرآن الكريم؟, سورة الحج
360,من الذي عدلت شهادته شهادة الرجلين؟, خزيمة بن ثابت
361,ما هي السورة التي تعدل ربع القرآن؟, سورة الكافرون
362,من هو الملقب بذي النورين؟, عثمان بن عفان
363,كم عدة المرأة المطلقة؟, 3 أشهر
364,ما اسم خازن الجنة؟, رضوان
365,متى كانت غزوة بدر الأولى؟, 2 هـ
366,من هو الصحابي الذي لقب بأمين هذه الأمة؟, أبو عبيدة الجراح
367,من هو الصحابي الذي سماه الرسول صلى الله عليه وسلم بغسيل الملائكة؟, حنطلة بن أبي عامر
368,من هو الصحابي الجليل الملقب بأبو المساكين؟, جعفر بن أبي طالب
369,ما هي السورة التي يطلق عليها عروس القرآن؟, الرحمن
370,من هو حواري الرسول صلى الله عليه وسلم؟, الزبير بن العوام
371,من قاتل عمر بن الخطاب؟, أبو لؤلؤة المجوسي
372,من هو الصحابي الذي لقب بشبيه الملائكة؟, عمران بن الحصين
373,ما هي السورة التي لا تحتوي على حرف الميم؟, سورة الكوثر
374,من آخر نساء النبي صلى الله عليه وسلم موتا؟, أم سلمة
375,"من هي المقصودة بقوله تعالى: ""قد سمع الله قول التي تجادلك في زوجها""؟", خولة بنت ثعلبة
376,من هو الصحابي الذي سيبعث وحيدا؟, أبو ذر الغفاري
377,كم عدد السور التي أسمها على أسماء الأنبياء؟, 6 سور
378,ما اسم طعام المأتم الذي يقدم عند الوفاة؟, الوضيمة
379,في أي سورة ورد اسم القيامة (الصاخة)؟, سورة عبس
380,من الصحابي الذي دافع عن النبي صلى الله عليه وسلم في معركة أحد حتى شلت يمينه؟, طلحة بن عبيد الله
381,من هو ترجمان القرآن؟, عبدالله بن عباس
382,من هو أول فدائي في الإسلام؟, علي بن أبي طالب
383,أول من أسلم من الصحابة من الرجال؟, أبو بكر الصديق
384,من هو جندب بن جنادة؟, أبو ذر الغفاري
385,من هو الصحابي الملقب بسيد الفوارس؟, أبو موسى الأشعري
386,من هو أول من حصل على لقب سيد الشهداء؟, حمزة بن عبدالمطلب
387,من هو الصحابي الملقب بداهية العرب؟, عمرو بن العاص
388,من هو الذي كانت تستحي منه الملائكة؟, عثمان بن عفان
389,من هو أمين الرسول صلى الله عليه وسلم؟, حذيفة بن اليمان
390,أين رست سفينة نوح بعد الطوفان؟, جبل الجودي
391,الشهر الخامس في التقويم الهجري؟, جمادى الأول
392,من هو الصحابي الذي افتداه الرسول صلى الله عليه وسلم بأبيه وأمه؟, سعد بن أبي وقاص
393,ما اسم الفتى الذي كان يصاحب موسى عليه السلام في رحلته مع الخضر؟, يوشع بن نون
394,ما هي المعركة التي كانت سببا في تعجيل المسلمين بجمع القرآن؟, معركة اليمامة
395,من هو الصحابي الذي أوتي مزمارا من مزامير داوود عليه السلام؟, أبو موسى الأشعري
396,في أي غزوة استشهد الصحابي جعفر بن أبي طالب؟, غزوة مؤتة
397,أول من أنشأ جهاز شرطة في الإسلام؟, عثمان بن عفان
398,من القوم الذين أهلكهم الله بالطاغية؟, قوم ثمود
399,أين ورد قوله تعالى (واتقوا يوما ترجعون فيه إلى الله ثم توفى كل نفس ما كسبت وهم لا يظلمون)؟, سورة البقرة
400,قال رسول الله صلى الله عليه وسلم: (من صلى البردين دخل الجنة) ما هما البردين؟, الفجر والعصر
401,ما أول معركة وقعت بين المسلمين والروم؟, أجنادين
402,من هو قائد المسلمين في معركة عين جالوت؟, سيف الدين قطز
403,في أي سنة هجرية كانت غزوة أحد؟, 3 هـ
404,قال تعالى في سورة الغاشية ((14) و نمارق مصفوفة) ما المقصود بالنمارق؟, الوسائد
405,ذكر الله تعالى في سورة المدثر كلمة (سقر) فماذا تعني؟, اسم من أسماء جهنم
406,قوم أي من الأنبياء كانوا يعبدون الأيكة؟, شعيب عليه السلام
407,كم مرة ذكر سيدنا موسى عليه السلام في القرآن الكريم؟, 136 مرة
408,من قائل هذا الدعاء (رب بما أنعمت علي فلن أكون ظهيرا للمجرمين)؟, موسى عليه السلام
409,من السبع الموبقات؟, قذف المحصنات المؤمنات الغافلات
410,في أي سورة وردت هذه الآية الكريمة (ويسألونك عن الجبال فقل ينسفها ربي نسفا* فيذرها قاعا صفصفا)؟, سورة طه
411,من هو النبي الذي دعى ربه أن يهبه غلاما زكيا؟, زكريا عليه السلام
412,قال تعالى في سورة ص (وشددنا ملكه وآتيناه الحكمة وفصل الخطاب(20)) من المقصود بالآية الكريمة؟, داوود عليه السلام
413,كم عدد آيات سورة البقرة؟, 286 آية
414,احدى هذه السور تبدأ بالحروف المقطعة (الم)؟, البقرة
415,في أي سورة وردت قصة طالوت؟, سورة البقرة
416,من هو النبي الذي أمره الله بأن يأخذ الكتاب بقوة؟, يحيى عليه السلام
417,قال تعالى في سورة هود (وأخذت الذين ظلموا فأصبحوا في ديارهم جاثمين) من هم القوم الذين أهلكهم الله في هذه الآية؟, قوم مدين
418,قال تعالى (كذبت قبلهم قوم نوح فكذبوا عبدنا وقالوا مجنون وازدجر) في أي سورة وردت هذه الآية؟, سورة القمر
419,قال تعالى في سورة الواقعة (في سدر مخضود) ما معنى مخضود؟, لا شوك فيه
420,كيف أهلك قوم هود؟, ريح صرصر عاتية
421,متى وقعت غزوة الخندق؟, 5 هـ
422,من هي النصرانية التي أسلمت ثم تزوجها الرسول صلى الله عليه وسلم؟, ماريا القبطية
423,من أول من أمر بجمع القرآن الكريم؟, أبو بكر الصديق
424,كم سنة دامت خلافة علي بن أبي طالب كرم الله وجهه؟, 6 سنوات
425,من الصحابة العشر المبشرين بالجنة؟, سعيد بن زيد بن عمرو بن نفيل
426,من هو النبي الذي علم منطق الطير؟, سليمان عليه السلام
427,من هو النبي الذي قبضت روحه في السماء؟, ادريس عليه السلام
428,احدى أمهات المؤمنين رضي الله عنهن تلقب بأم المساكين فمن هي؟, زينب بنت خزيمة الهلالية
429,كم عدد أخوة النبي يوسف عليه السلام؟, 11
430,إلى كم جزء ينقسم القرآن الكريم؟, ثلاثون جزءا
431,"كم مرة تكررت الآية: ""فبأي آلاء ربكما تكذبان""؟", 31 مرة
432,"ما هي السورة التي تبدأ بقوله تعالى: ""يا أيها النبي اتق الله ولا تطع الكافرين والمنافقين إن الله كان عليما حكيما""؟", سورة الأحزاب
433,ما هي السورة التي كانت سببا في إسلام عمر بن الخطاب رضي الله عنه؟, طه
434,ماذا تعني النفاثات في العقد؟, النساء الساحرات
435,ما هي أعظم سورة في القرآن الكريم؟, سورة الفاتحة
436,"ما هي السورة التي تنتهي بقوله تعالى ""واعبد ربك حتى يأتيك اليقين""؟", سورة الحجر
437,ما هي السورة التي تقع بين سورتي يوسف وابراهيم؟, الرعد
438,ما هي السورة التي تعدل ثلث القرآن؟, سورة الإخلاص
439,كم عدد السجدات في القرآن الكريم؟, 15
440,كم عدد أيام الحج؟, ستة أيام
441,ماذا يطلق على يوم النحر في القرآن الكريم؟, يوم الحج الأكبر
442,في أي يوم من أيام الحج يوم عرفة العظيم؟, التاسع من ذي الحجة
443,كم مرة حج الرسول صلى الله عليه وسلم؟, مرة واحدة
444,هل الحج من أركان الإسلام؟, نعم
445,يعتبر الحج من أركان؟, الإسلام
446,ماهو حكم الحج في الإسلام؟, فرض على من استطاع
447,كم مرة يطوف الحاج حول الكعبة؟, سبع مرات
448,في أي شهر يحج المسلمون؟, شهر ذي الحجة
449,يجب على المسلم الوقوف في..؟, عرفات
450,في أي عام ميلادي توفي النبي محمد صلى الله عليه وسلم؟, 632 م
451,ما هو أضعف البيوت كما ذكر في القرآن الكريم؟, بيت العنكبوت
452,قال تعالى في سورة القلم: (فأصبحت كالصريم (20)) ما المقصود بالصريم؟, الليل الأسود
453,متى احتفل المسلمون بعيد الفطر؟, 2 هـ
454,في أي يوم خلق آدم عليه السلام؟, يوم الجمعة
455,من هو قائد المسلمين في معكرة القادسية؟, سعد بن أبي وقاص
456,من هي الملقبة بذات النطاقين؟, أسماء بنت أبي بكر
457,ما اسم الذبيحة التي تذبح عن المولود وهي سنة مؤكدة؟, العقيقة
458,قال تعالى: (والذاريات ذروا) ما المقصود بالذاريات؟, الرياح
459,من هو خطيب الرسول صلى الله عليه وسلم؟, ثابت بن قيس
460,قال تعالى: (كأنهم حمر مستنفرة(50) فرت من قسورة) ما معنى قسورة؟, أسد
461,نوع من أنواع الربا يقوم على التفاضل في الجنس الواحد ماذا يسمى؟, ربا الفضل
462,من قائل هذا الدعاء: (رب بما أنعمت علي فلن أكون ظهيرا للمجرمين)؟, موسى عليه السلام
463,ما هي السورة التي ورد فيها ذكر الذباب؟, الحج
464,من آخر من توفى من الصحابة؟, أبو الطفيل عامر بن وائلة
465,من هو النبي الذي كفل مريم العذراء؟, زكريا عليه السلام
466,ما هو اسم أبو جهل؟, عمرو بن هشام
467,ما هو أول مسجد في الإسلام؟, مسجد قباء
468,من هو الصحابي الملقب بترجمان القرآن؟, عبدالله بن عباس
469,ما هي السورة التي تقع في نصف القرآن؟, سورة الكهف
470,من هي أم اسحاق عليه السلام؟, سارة
471,ما اسم الطعام الذي يقدم للإحتفال بالزواج؟, الوليمة
472,من معجزات الرسول محمد صلى الله عليه وسلم؟, انشقاق القمر
473,ما هي السورة التي لا تحوي حرف الميم؟, سورة الكوثر
474,من هو النبي الذي ارسل الى قوم ثمود؟, صالح
475,الصحراء الذي أقام فيها موسى مع قومه بعد أن أنجاهم الله من فرعون؟, صحراء سيناء
476,من هم القوم الذي أرسل لهم الله الناقة؟, قوم ثمود
477,كم عدة المرأة المتوفي زوجها؟, أربع أشهر وعشرة أيام
478,ما اسم والدة النبي صلى الله عليه وسلم؟, آمنة بنت وهب
479,كم كانت مدة الدعوة سرا؟, 3 سنوات
480,ما اسم طعام المأتم الذي يقدم عند الوفاة؟, الوضيمة
481,ما هي الصلاة التي يركع فيها المصلي أربع مرات ويسجد أربع مرات؟, صلاة الخسوف والكسوف
482,في أي سورة وردت هذه الآية الكريمة (فقلت استغفروا ربكم إنه كان غفارا (10) يرسل السماء عليكم مدرارا (11))؟, سورة نوح
483,اسم المعركة التي انتصر فيها جيش المسلمين على المغول؟, معركة عين جالوت
484,من هو النبي الذي سخر له الجبال تسبح معه؟, داوود عليه السلام
485,كم عدد المواضع التي اقسم الله بنفسه في القرآن الكريم؟, 7 مواضع
486,من هي مرضعة الرسول صلى الله عليه وسلم؟, حليمة السعدية
487,من هو الصحابي الذي اشترى بئر رومة في المدينة من اليهودي ووهبه للمسلمين؟, عثمان بن عفان
488,كم عدد الغزوات التي قاتل فيها الرسول صلى الله عليه وسلم؟, 9 غزوات
489,من هو النبي الذي آتاه الله العلم والحكمة وسخر له الجبال والطير يسبحن معه؟, داوود عليه السلام
490,كم عدد أبواب النار؟, 7 أبواب
491,كم سنة دامت خلافة أبو بكر الصديق رضي الله عنه؟, سنتان
492,من السبع الموبقات؟, الشرك بالله
493,قال رسول الله صلى الله عليه وسلم: (هذا خالي فليرني امرِ خاله) فمن هو الصحابي الذي يقصده؟, سعد بن أبي وقاص
494,من من الخلفاء الراشدين كان الأكبر سنا عندما لقي ربه؟, عثمان بن عفان
495,الشهر الخامس في التقويم الهجري؟, جمادى الأول
496,متى وقعت غزوة الخندق؟, 5 هـ
497,ما هو اسم أبو جهل؟, عمرو بن هشام
498,ما هي آخر سورة نزلت في القرآن الكريم؟, النصر
499,كم دامت خلافة عثمان بن عفان رضي الله عنك؟, 12 سنة
500,ما هي السورة القرآنية التي يبكي فيها الشيطان عند سماعها؟, سورة السجدة
501,أين يوجد البيت المعمور؟, في السماء
502,ما هي المدة التي نام فيها أهل الكهف؟, 309 سنة
503,في أي سنة شرع شهر رمضان المبارك؟, 2 هـ
504,ما هي الغزوة التي أسرت فيها الشيماء شقيقة الرسول صلى الله عليه وسلم في الرضاعة؟, غزوة حنين
505,كم عدد الأشهر الحرم؟, أربعة أشهر
506,كم عدد أبناء الرسول صلى الله عليه وسلم؟, سبعة أبناء
507,من أول من أسلم من الرجال؟, أبو بكر الصديق
508,من أول من أسلم من الأنصار؟, جابر بن عبد الله
509,ما هي أصغر سورة في القرآن الكريم؟, الكوثر
510,في أي سنة للهجرة توفي الرسول صلى الله عليه وسلم؟, 11 هـ
511,من السبع الموبقات؟, أكل الربا
512,متى لقب أبو بكر بالصديق؟, في حادثة الإسراء والمعراج
513,من مؤلف كتاب الجامع الصحيح؟, الإمام البخاري
514,نوع من أنواع الربا يقوم على التفاضل في الجنس الواحد ماذا يسمى؟, ربا الفضل
515,ما اسم الزوجة الرابعة بالترتيب التي تزوجها النبي صلى الله عليه وسلم؟, حفصة بنت عمر
516,اسم المعركة التي انتصر فيها جيش المسلمين على المغول؟, معركة عين جالوت
517,من هو الصحابي الملقب بذي النورين؟, عثمان بن عفان
518,ما هو الاسم الذي يطلق على الزيادة في الدين نظير الأجل أو الزيادة فيه؟, ربا النسيئة
519,كم سنة دامت خلافة أبو بكر الصديق رضي الله عنه؟, سنتان
520,قال تعالى في سورة الذاريات (فالجاريات يسرا) المقصود بالجاريات في الآية هو؟, السفن
521,من هي المرأة التي نذرت ما في بطنها محررا؟, امرأة عمران
522,من هو النبي الذي لقب بالصديق؟, يوسف عليه السلام
523,الشهر الثامن في التقويم الهجري؟, شعبان
524,من هو خطيب الرسول صلى الله عليه وسلم؟, ثابت بن قيس
525,من هو النبي الذي قبضت روحه في السماء؟, ادريس عليه السلام
526,قال تعالى في سورة القلم (فأصبحت كالصريم (20)) ما المقصود بالصريم؟, الليل الأسود
527,ما اسم الآية التي تنتهي آياتها بحرف السين؟, الناس
528,إلى أي قوم أرسل نبي الله شعيب عليه السلام؟, قوم مدين
529,في أي سورة وردت الآية (يا أيها الناس اتقوا ربكم إن زلزلة الساعة شيء عظيم)؟, سورة الحج
530,ما هي السورة التي تقع البسملة في وسطها؟, سورة النمل
531,"كم مرة ورد لفظ ""بسم"" في القرآن الكريم؟", 7 مرات
532,"ما معنى ""القطر"" في قوله تعالى (وأسلنا له عين القطر)؟", النحاس
533,ما هو اللون الذي كانت تكسى به الكعبة قبل اللون الأسود؟, الأخضر
534,المسجد الأقصى هو ثاني مسجد وضع في الأرض بعد المسجد الحرام بمدة قدرها؟, 40 سنة
535,متى فتح المسلمون مكة المكرمة؟, 8 هـ
536,من الذي شيد قبة الصخرة المشرفة في القدس؟, عبدالملك بن مروان
537,كيف أهلك الله قوم لوط؟, بحجارة مسومة
538,من هو الملقب بأسد الله الغالب؟, علي بن أبي طالب
539,من هو النبي الذي يقتل المسيح الدجال؟, عيسى عليه السلام
540,من أول من لبس السروال؟, ابراهيم عليه السلام
541,من أول من صنف تفسير القرآن الكريم بالإسناد؟, مالك بن أنس
542,من أول من قاتل بالسيف؟, ابراهيم عليه السلام
543,ما أول هدية الى الرسول صلى الله عليه وسلم بالمدينة؟, قطعة خبز وسمن ولبن
544,من هو الكافر الذي اعتبر رأس الكفر وفرعون الأمة؟, أبو جهل
545,ما هي السورة التي لا تبدأ بالبسملة؟, التوبة
546,قال رسول الله صلى عليه وسلم (هذا خالي فليرني امرؤ خاله) فمن هو الصحابي الذي يقصده؟, سعد بن أبي وقاص
547,من أسماء الخيل التي ذكرت في القرآن الكريم ما هي؟, العاديات
548,ما هي نسبة الزكاة من المال الفائض بلغ النصاب؟, 2.5 بالمئة
549,ما المقصود بقوله تعالى (من ذا الذي يقرض الله قرضا حسنا؟, الصدقة
550,كم عدد الغزوات التي قاتل فيها الرسول صلى الله عليه وسلم؟, 9 غزوات
551,ما هي السورة التي بدأت وانتهت بالتسبيح؟, سورة الحشر
552,أي من الأسماء التالي هو من أسماء الملائكة المذكور في القرآن الكريم؟, الزاجرات
553,من هو النبي الذي قبضت روحه في السماء؟, ادريس عليه السلام
554,في أي شهر يوافق يوم عاشوراء؟, شهر محرم
555,من أول مرضعة للرسول صلى الله عليه وسلم؟, ثويبة الأسلمية
556,قال تعالى (كذبت قبلهم قوم نوح فكذبوا عبدنا وقالوا مجنون وازدجر) في أي سورة وردت هذه الآية؟, سورة القمر
557,من السبع الموبقات؟, التولي يوم الزحف
558,ما السورة التي ذكرت فيها قصة هابيل وقابيل؟, سورة المائدة
559,في أي عام وقعت غزوة بني النضير؟, 5 هـ
560,من هو الصحابي الذي أوتي مزمارا من مزامير داوود عليه السلام؟, أبو موسى الأشعري
561,قال تعالى (كأنهم حمر مستنفرة (50) فرت من قسورة) مامعنى قسورة؟, أسد
562,ما اسم الصحابي الجليل أبو هريرة؟, عبدالرحمن بن صخر الدوسي
563,من هو مؤذن الرسول صلى الله عليه وسلم؟, بلال بن رباح
564,قال تعالى في سورة القمر (فنادوا صاحبهم فتعاطى فعقر) من هم القوم الذين تحدثن عنهم الآية؟, قوم ثمود
565,ما اسم خازن الجنة؟, رضوان
566,في أي سنة كان صلح الحديبية؟, 6 هـ
567,ما السور التي ختمت باسم وقت من أوقات الصلاة؟, سورة القدر
568,ما اسم أم النبي اسماعيل عليه السلام؟, هاجر
569,من هو النبي الذي أقسم بحياته في القرآن الكريم؟, محمد صلى الله عليه وسلم
570,في أي غزوة استشهد الصحابي جعفر بن أبي طالب؟, غزوة مؤتة
571,من هو أول داعية إسلامي؟, مصعب بن عمير
572,اسم المعركة التي انتصر فيها جيش المسلمين على المغول؟, معركة عين جالوت
573,قائد المسلمين في معركة عين جالوت؟, سيف الدين قطز
574,من قائل لولا أن الموت أتاني لجعلت كل الدول الأوروبية إسلامية هو؟, صلاح الدين الأيوبي
575,من هو الخليفة الراشدي الذي قاد حروب الدرة؟, أبو بكر الصديق
576,ما هي الدولة التي حكمت العالم الإسلامي بعد مرحلة الخلافة الراشدية؟, الدولة الأموية
577,كم كان عدد المشركين في غزوة بدر؟, 950
578,من هو أول خلفاء الدولة الأموية؟, معاوية بن أبي سفيان
579,متى فتح الفاروق عمر القدس الشريف؟, 15 هـ
580,كيف أهلك الله قوم لوط؟, بحجارة مسومة
581,من هو النبي الذي كانت تسبح معه الجبال؟, داوود عليه السلام
582,سورة بدأت بالحمدلله مثل سورة الفاتحة؟, سورة فاطر
583,كم عدد السور التي ابتدأت بالحروف المقطعة (ألم)؟, 6 سور
584,في أي جهة يقع باب الكعبة المشرفة؟, الجهة الشرقية من الكعبة
585,من صاحب هذا الدعاء (ربنا اغفر لي ولوالدي وللمؤمنين يوم يقوم الحساب)؟, ابراهيم عليه السلام
586,كم عدد أولاد وبنات النبي صلى الله عليه وسلم؟, 7
587,ما هو عدد حملة العرش يوم القيامة والمذكورين في القرآن الكريم؟, 8
588,من أول من أسلم من الصبيان؟, علي بن أبي طالب
589,ما هو مقدار زكاة الثمار والزرع في حالة الري دون كلفة؟, العشر
590,أين ورد قوله تعالى (واصبر لحكم ربك فإنك بأعيننا وسبح بحمد ربك حين تقوم ومن الليل فسبحه وإدبار النجوم)؟, سورة الطور
591,قال تعال في سورة التين (وهذا البلد الأمين (3)) ما هو البلد الأمين؟, مكة المكرمة
592,من هو النبي الذي آتاه الله العلم والحكمة وسخر له الجبال والطير يسبحن معه؟, داوود عليه السلام
593,احدى أمهات المؤمنين رضي الله عنهن تلقب بأم المساكين فمن هي؟, زينب بنت خزيمة الهلالية
594,كم عدد التكبيرات في الركعة الأولى في صلاة العيد؟, 7 تكبيرات
595,كم عدد بنات النبي صلى الله عليه وسلم؟, أربعة بنات
596,قال تعالى (والذاريات ذروا) ما المقصود بالذاريات؟, الرياح
597,من هو النبي الذي أرسل الى قوم عاد؟, هود عليه السلام
598,قال تعال في سورة القصص (فخسفنا به وبداره الأرض) من هو الذي خسف الله به الأرض؟, قارون
599,من هو النبي الذي كانت زوجته كافرة؟, لوط عليه السلام
600,من هو الصحابي الذي كان يلقب بأبي المساكين وحين استشهد لقب بذي الجناحين؟, جعفر بن أبي طالب
601,بماذا لقب اسماعيل عليه السلام؟, الذبيح
602,كيف أهلك الله قوم لوط؟, بحجارة مسومة
603,من هو أول ملك فرعوني آمن بالتوحيد؟, اخناتون
604,من من الخلفاء الراشدين كان الأكبر سنا عندما لقى ربه؟, عثمان بن عفان
605,في أي عام هجري توفي أمير المؤمنين عمر بن الخطاب؟, 23 هـ
606,كم سنة دامت خلافة عثمان بن عفان رضي الله عنه؟, 12 سنة
607,كم عدد زوجات الرسول صلى الله عليه وسلم؟, 11
608,ما هو لقب حمزة بن عبدالمطلب؟, أسد الله
609,من هي آخر زوجة تزوجها الرسول صلى الله عليه وسلم؟, ميمونة بن الحارث
610,كم مرة حج الرسول صلى الله عليه وسلم؟, مرة واحدة
611,في أي سورة ورد اسم يوم القيامة (الطامة)؟, سورة النازعات
612,ما هو الشيء الذي ذكر في القرآن أنه يتنفس ولا روح له؟, الصبح
613,الأنفال، كلمة وردت في القرآن الكريم فماذا تعني؟, الغنائم
614,ماذا كان اسم ناقة الرسول صلى الله عليه وسلم؟, القصواء
615,في أي سنة توفي الرسول صلى الله عليه وسلم؟, 11 هـ
616,من أول من قتل من المشركين في غزوة بدر الكبرى؟, الأسود بن عبد الأسد المخزومي
617,ما اسم والدة مريم العذراء؟, حنة
618,كم عدد المواضع التي أقسم الله بنفسه في القرآن الكريم؟, 7 مواضع
619,ما هو ثاني مسجد في الإسلام؟, المسجد النبوي الشريف
620,ما أول ما نزل من التوراة؟, بسم الله الرحمن الرحيم
621,من أول من هاجر من المسلمين إلى الحبشة؟, حاطب بن عمرو
622,كم عدد من قتل من المسلمين في غزوة مؤتة؟, 12
623,ما هي السورة التي تسمى سورة المنافقين؟, سورة التوبة
624,ما اسم امرأة لوط؟, والهة
625,في أي سنة حج النبي صلى الله عليه وسلم حجة الوداع؟, في السنة العاشرة
626,ما هي صلاة البردين؟, الفجر والعصر
627,من أكثر الأنبياء ذكراً بالقرآن؟, موسى عليه السلام
628,من سمى الجمعة الجمعة؟, كعب بن لؤي
629,ماهي السورة التي تسمى القتال؟, سورة محمد
630,ما هو الطائر الذي تحدث مع النبي سليمان عليه السلام؟, الهدهد
631,من هو أول داعية في تاريخ الإسلام؟, مصعب بن عمير
632,ماذا كانت تعبد ملكة سبأ بلقيس وقومها من دون الله؟, الشمس
633,من هو أول من بنى السجون في الإسلام؟, علي بن أبي طالب
634,من هي أول فدائية في الإسلام؟, أسماء بنت أبي بكر
635,ما هو أول ما يرفع من أعمال هذه الأمة؟, الصلاة
636,ما هي كفارة الحلف بالله؟, إطعام عشرة مساكين
637,في أي الصلوات يجتمع ملائكة الليل والنهار؟, صلاة الفجر والعصر
638,متى أسلم أبو قحافة والد أبي بكر؟, في عام الفتح
639,على من يطلق لقب المصدود؟, الذي يمنع من الحج
640,كم تعادل الصلاة في المسجد الحرام؟, مئة ألف صلاة
641,من هو أول جبار لعنه الله في الأرض؟, النمرود
642,صيام هذا اليوم يكفر السنة التي قبله والسنة التي بعده؟, يوم عرفة
643,عندما نزلت الصلاة أول مرة كان عددها...؟, خمسين صلاة
644,كم سنة ضلت الدعوة الإسلامية سرا؟, ثلاث سنوات
645,الطيور التي أرسلها الله تعالى لإنقاذ الكعبة من أبرهة كانت تحمل؟, حجارة من سجيل
646,كم عدد أيام الحج؟, ستة أيام
647,ما هو اسم الجبل الذي رست عليه سفينة نوح عليه السلام؟, الجودي
648,كانت لقريش رحلتان في فصلي؟, الشتاء والصيف
649,ما هو العذاب الذي وقع على قوم ثمود؟, الصيحة
650,قال تعال (وزرابي مبثوثة) سورة الغاشية (16)، ما المقصود ب(زرابي)؟, الطنافس
651,ما المقصود بيوم الفرقان الذي ذكره الله تعالى في القرآن الكريم؟, غزوة بدر
652,قال تعالى (وفرعون ذي الأوتاد) سورة الفجر (10)، ما المقصود ب(الأوتاد)؟, الأهرام
653,ما السورة التي سميت بسورة الكليم؟, سورة طه
654,من هو أول من سمى القرآن مصحفا؟, أبو بكر الصديق
655,ما هي السورة التي بدأت بإسم أحد الجبال؟, سورة الطور
656,ما معنى قوله تعاله (وطلح منضود)؟, الموز
657,ما هي السورة التي تنتهي جميع آياتها بحرف الدال؟, سورة الإخلاص
658,ما هي أول آية نزلت في القرآن الكريم؟, اقرأ باسم ربك الذي خلق
659,كم استغرق نزول القرآن الكريم؟, 23 سنة
660,من هو أول نبي تحدث باللغة العربية؟, اسماعيل عليه السلام
661,من هو النبي الذي يلقب بإسرائيل؟, يعقوب عليه السلام
662,كم كان يبلغ طول آدم عليه السلام؟, 60 ذراعا
663,من هو النبي الذي آمن به جميع قومه؟, يونس عليه السلام
664,من هو النبي الذي أمره الله تعالى أن يأخذ الكتاب بقوة؟, يحيى عليه السلام
665,من هو أول نبي خاط الثياب ولبسها؟, إدريس عليه السلام
666,كم نبيا ذكر في سورة الأنبياء؟, 16 نبيا
667,كم كان عدد إخوة يوسف عليه السلام؟, 11
668,من هو النبي الذي كان قومه ينحتون الجبال بيوتا؟, صالح عليه السلام
669,كم مكث سيدنا ابراهيم عليه السلام في النار التي ألقي بها؟, سبعة أيام
670,من هو أول من جعل تاريخ الهجرة النبوية بداية للتاريخ؟, عمر بن الخطاب
671,من هو الصحابي الذي أكل مع الرسول صلى الله عليه وسلم يوم خيبر من الشاه المسمومة ومات؟, بشر بن البراء
672,من أول من استشهد من الصحابة في المعارك؟, عبيدة بن الحارث
673,من هو الملقب بالجواد بن الجواد؟, قيس بن سعد
674,من هو الصحابي الذي استمعت إاليه الملائكة وهو يقرأ سورة البقرة؟, أسيد بن حضير
675,من القائل: (فلا نامت أعين الجبناء)؟, خالد بن الوليد
676,من هو الصحابي الملقب بيوسف هذه الأمة؟, جرير بن عبدالله
677,من هو أول من رمى بسهم في سبيل الله؟, سعد بن أبي وقاص
678,عندما توفي قال عنه عمر: مات اليوم سيد المسلمين، فمن هو؟, أبي بن كعب
679,من هو الصحابي الذي تولى حراسة الرسول صلى الله عليه وسلم يوم بدر؟, سعد بن معاذ
680,ما هو نصاب الذهب الذي تجب فيه الزكاة؟, 85 جرام
681,كم مرة يدفع المسلمون الزكاة؟, سنويا
682,ما هي السورة التي ذكرت البسملة فيها مرتين؟, سورة النمل
683,ما هو أكبر رقم في القرآن الكريم؟, مئة ألف
684,من هو أول من يقرع باب الجنة؟, محمد صلى الله عليه وسلم
685,ماذا كان يعمل نبي الله نوح عليه السلام؟, نجار
686,من هو النبي الذي ظهرت عند قدميه مياه زمزم؟, اسماعيل عليه السلام
687,أين توفي بلال بن رباح؟, دمشق
688,ما هي السورة التي تعدل ثلث القرآن الكريم؟, سورة الإخلاص
689,من هو رفيق الرسول صلى الله عليه وسلم في رحلة الهجرة؟, أبو بكر الصديق
690,أين ولد عليه الصلاة والسلام؟, في مكة المكرمة
691,كم كان عمر الرسول صلى الله عليه وسلم عندما سافر إلى الشام لأول مرة مع عمه أبي طالب؟, 12 سنة
692,ما هو لقب الرسول صلى الله عليه وسلم؟, الصادق الأمين
693,كم عدد الغزوات التي قاتل فيها الرسول صلى الله عليه وسلم؟, تسع غزوات
