Question,Answer
392ـ ما هو الملتزم وما هو الحطيم ؟ ,     الملتزم : المسافة من الركن الشرقي للكعبة والحجر إلى باب الكعبة . والحطيم : 
393ـ ما هو اليوم الموعود وماهو اليوم المشهود ؟ ,     اليوم الموعود يوم القيامة ، واليوم المشهود يوم عرفة .
س421- ما أول المخلوقات وما آخرها ؟,
كان أول المخلوقات القلم ؛ ليكتب المقادير قبل كونها ، وجعل آدم آخر ,     المخلوقات.
س422- ماعدد الملائكة التي تحيط بالإنسان أثناء يومه؟ ,     أن الملائكة التي تحيط الإنسان عددها عشرة
س423- لمن كانت أول راية عقدت في الإسلام ؟ ,     لعبيدة بن الحارث رضي الله عنه .
س424- ماهي السورة التي فيها سجد تين ؟ ,     سورة الحج
س425-أين صنعت أول كسوة للكعبة المشرفة ؟ ,     في مصر
س426- صحابي قتل في أحدى المعارك وهو على جنابة فغسلتة الملائكة ؟ ,     حنظلة بن عامر
س427- كم كان عمر والد النبي صلى الله علية وسلم عندما تزوج آمنة ؟ ,     خمسة وعشرون سنة
س428من هي الصحابية التي نزلت فيها أحكام الطهارة ؟ ,     خولة بنت ثعلبة
س429- من هم أول من فتحوا باب الغلو في الدين ؟ ,     الخوارج
س430 ماهي أطول آية في القرآن الكريم ؟ ,     آية الدين في سورة البقره
س431- احد أسماء جبريل علية السلام المذكورة في القرآن الكريم ؟ ,     ج- ذو مرة 
س441- في أي سورة جاء ذكر غزوة تبوك ؟ ,     في سورة التوبة
س442- يقول المؤذن في صلاة الفجر ( الصلاة خير من النوم ) ما اسم هذه الصفة ؟,
تثويب,
س443- جبل يقع في مكة اختبأ فية الرسول وأبو بكر ؟ ,     جبل ثور
س444- في أي عام هجري فرض الصوم ؟ ,     السنة الثانية
س445- الإنس والجن ورد ذكرهما في القرآن الكريم باسم يجمعهما ؟ ,     الثقلان
س446- ماهو أحب الطعام عند الرسول ويتكون من الخبز والمرق ؟ ,     الثريد
س447- كم آية نزلت في الخمر ؟ ,     ثلاث
س448- كم بقيت الدعوة إلي الإسلام في مكة سرا ؟ ,     ثلاث سنوات
س449- من أول من شكل الأحرف بالمصحف ؟ ,     أبو الأسود الدؤلي .
س450- أين كانت تعيش قوم عاد ؟ ,     في الاحقاف قرب حضرموت
394ـ ماهو الإسراء وماهو المعراج ؟ ,     الإسراء : خروج النبي ليلاً من المسجد الحرام إلى المسجد الأقصى . والمعراج 
395ـ بم سميت معركة بدر ؟ ولماذا ؟ ,"     معركة بدر سميت بـ "" غزوة الفرقان "" لأن الله فرق بين الحق والباطل ."
396ـ كم موضع ورد لفظ إبليس في القرآن الكريم ؟ ,     11 موقعاً .
397ـ ماهي الأشهر الحرم عند العرب ؟ ,     أربعة : ذو القعدة ، وذو الحجة ومحرم ، ورجب .
"398ـ في أحكام المواريث يوجد ما يسمى بـ "" الكلالة "" فما هي ؟ ",     هو أن يموت أحد ولا يوجد من يرثه .
399ـ من آخر من مات من زوجات النبي صلى الله عليه وسلم ؟ ,     عائشة بنت أبي بكر الصديق رضي الله عنها .
400 ـ من الذي رأى رؤيا الآذان ؟ ,     عبدالله بن زيد .
"401 ـ من هو"" الأواب البطل ""؟ ",     لقب عبد الرحمن بن أبي بكر الصديق رضي الله عنه ، وكان اسمه عبد الكعبة فغيره 
402 ـ ماهي المعركة العظيمة التي وقعت في زمن النبي صلى الله عليه وسلم ,     وانتهت بإنسحاب الجيشين ؟ 
403 ـ كم مرة احتلت مدينة القدس عبر التاريخ ؟ ,     24 مرة .
404 ـ ما السورة التي ابتدأت باسم ثمرتين ؟ ,     سورة التين .
405 ـ ذكر لفظ الأنف في القرآن مرة واحدة في أي سورة ؟ ,     سورة المائدة .
406 ـ كلما ارتفع الإنسان في أجواء السماء قلت نسبة الأكسجين وشعر بصعوبة في ,     التنفس ، حقيقة علمية أشار إليها القرآن الكريم ، اذكر الآية واسم السورة ؟ 
407ـ ما اسم العلم الذي يرفعه الجيش في الحروب ؟ ,     في اللغة هو الدرفل .
"408ـ ما هي الركعات التي قال عنها الرسول صلى الله عليه وسلم : "" انهما خير ","     من الدنيا وما فيها "" ؟ "
409ـ ما هي شروط الحديث الصحيح ؟ ,     اتصال السند ـ عدالة الرواة ـ ضبط الرواة ـ السلامة من الشذوذ ـ السلامة من 
410ـ كم تبلغ القاعدة المقامة فوقها الكعبة المشرفة ؟ ,     75سم ارتفاع عن سطح الأرض .
411ـ ما الذي كان يعجب الرسول صلى الله عليه وسلم من أمور الدنيا ؟ ,     التطيب والنساء وجعلت قرة عينه في الصلاة .
412ـ من أشهر العلماء الذين اعتنوا بالتأليف في أسباب النزول؟ ,     علي بن المديني شيخ البخاري ، الواحدي ، الجعبري ، شيخ الإسلام ، ابن حجر ، 
413ـ كيف كان يؤذن بلال ؟ ,     كان يرتقي اسطوانة مرتفعة في دار عبدالله بن عمر المواجه للمسجد النبوي .
414ـ ما هي الخمس خصال أعطيت للرسول صلى الله عليه وسلم ولم يعطهن من ,     الأنبياء أحداً قبله ؟ 
415ـ ماهي السبع الموبقات ؟ ,     الشرك بالله ـ السحر ـ قتل النفس التي حرم الله إلا بالحق ، أكل الربا ، أكل 
416ـ من هما الخلفاء الراشدين الذين تزوجتهم أسماء بنت عميس ؟ ,     تزوجت من أبي بكر الصديق وعلي بن ابي طالب رضي الله عنهما .
417ـ من كان أمير أول سرية خرجها المسلمون للقاء العدو ؟ ,     حمزة بن عبد المطلب رضي الله عنه .
"418ـ ما المقصود بقوله تعالى : "" الحج أشهر معلومات "" ؟ ",     المقصود أن هذه الأشهر شوال ، ذو القعدة ، وعشر من ذي الحجة .هي التي يجوز 
419ـ من هم أمراء المؤمنين في الحديث ؟ ,     أبو الزناد ـ وشعبة ـ والبخاري ـ وأحمد ـ والدارقطني .
س420- أين دفن عثمان بن عفان رضي الله عنه ؟ ,     في البقيع
س451- كم عام أقام النبي صلى الله عليه وسلم في مكة بعد البعثة ؟ ,     ج- ثلاثة عشر عاما 
س461- من الشخص الذي قتل ربع سكان العالم في حين الزمان ؟ ,     ج- قابيل 
س471-خليفة عباسي كان زمانة زمان خيروجهاد في سبيل الله ؟ ,     هارون الرشيد
س472- لماذا سمي العام العاشر للبعثة بعام الحزن ؟ ,     لموت عم النبي - أبي طالب -وموت زوجية خديجة في ذلك العام
س473- من هو الخليفة الأموي الذي شيد الجامع الأموي في دمشق ؟ ,     الوليد بن عبد الملك
س474-من هو النبي الذي أمرة الله بأن يأخذ الكتاب بقوة ؟ ,     يحيى علية السلام
س475- من هو أول من عمل القراطيس ؟ ,     يوسف علية السلام
س476- من هو النبي الذي الملقب ( بذي النون ) ؟ ,     يونس علية السلام
س477- ما اسم الفتى الذي كان يصاحب موسى علية السلام ؟ ,     يوشع بن نون
س478- من هو الصحابي الذي أمره الرسول صلى الله عليه وسلم بالبقاء عند أمه في ,     معركة بدر ؟ 
س479- من هو الذي قتل سمية أم عمار بن ياسر ؟ ,     أبو جهل
س480- من هو أول من ولي بيت المال وقد لقبة الرسول )امين هذه الأمة ) ؟ ,     أبو عبيدة عامر بن الجراح
س481- من هو النبي الذي بعث إلى مدين ؟ ,     شعيب عليه السلام
س482- من أسماء الله تعالى ويعني السيد المصمود إليه في الحوائج ؟ ,     الصمد
س483- من هو أول من لقب بأمير المؤمنين ؟ ,     عمر بن الخطاب رضي الله عنه
س484- من أول من جهر بالقرآن الكريم من الصحابة ؟ ,     عبدالله بن مسعود
س485- في عهد أي خليفة كانت معركة ذات الصواري ؟ ,     عثمان بن عفان رضي الله عنة
س486- من هي الصحابية روت الكثير من الحديث للرسول ؟ ,     عائشة بنت أبي بكر رضي الله عنها
س487- من هو أول مولود في الإسلام بالمدينة ؟ ,     عبدا لله بن الزبير
س488- من أول فدائي بالإسلام ؟ ,     علي بن أبي طالب رضي الله عنه
س489- أين كانت منطقة ثمود ؟ ,     في الحجر اسمها الآن مدائن صالح
س490-من هم الأئمة الأربعة أصحاب المذاهب ؟ ,     الإمام أبو حنيفة النعمان ـ مالك بن أنس ـ محمد بن إدريس الشافعي ـ أحمد بن 
س491- ما هي أطول رحلة في التاريخ البشرية ؟ ,     الإسراء والمعراج 
"494- ما الوجه الإعجازي في قوله تعالى : ""ويعلمكم ما لم تكونوا تعلمون "" ؟ ",     أن كل حرف من حروفها يقابل سنة من سني الرسالة 23 حرفاً .
س495- ماهي أول مدينة إسلامية بناها المسلمون خارج الجزيرة العربية ؟ ,     البصرة 
وهذه 500 سؤال اخرى ليصبح عددأسألة الموسوعه 1000 سؤال,
ـ من أول من خطب على ارض مرتفعة ؟,     قس بن ساعدة .
502ـ من هو المخضرم ؟,     من عاش بين عصرين الجاهلية والإسلام
503ـ كم دامت خلافة أبو بكر الصديق رضي الله عنه ؟,     2
504ـ كم دامت خلافة عمر بن الخطاب رضي الله عنه ؟,     10
505ـ كم دامت خلافة عثمان بن عفان رضي الله عنه ؟,     12
506ـ من هو الذي أمر الله سبحانه وتعالى نبيه محمد عليه السلام تعليمه أحكام ,     التجويد والأحرف التي أنزل عليها القرآن كما تلقاها الرسول الكريم عن جبريل 
507ـ من صاحب كتاب جوامع السيرة ؟,     ابن حزم
508ـ اسم سيدنا موسى عليه السلام له علاقة بشخصيته فما معنى كلمة موسى ؟,     كلمة موسى تعني ابن الماء والشجر .. فعندما ألقته أمه في اليم فيما يشبه 
509ـ لمن كتاب الطب النبوي ؟,     ابن قيم الجوزية
510ـ لماذا أطلق العرب على مدينة الكوفة هذا الاسم ؟,     لأن الجنود تجمعوا فيها ومعناها في اللغة الكوفة التجمع وقد بنيت في عهد عمر 
511ـ لمن كتاب الرسالة والأم ؟,     للشافعي أبو عبدالله محمد بن أدريس الشافعي
512ـ ما أسماء ناقة الرسول صلى الله عليه وسلم ؟,     العضباء . الجدعاء
513ـ ما المقصود بالمكوس ؟,     أصلها مكس أي دراهم كانت تؤخذ من بائع السلع في الجاهلية أي انها جباية 
514ـ بمعنى الضرائب وكانت تفرض على غير المسلمين ؟,     الخراج
515ـ ما إسم زوجة يعقوب أم يوسف عليه السلام ؟,     رحيل
516ـ كم عدد أبواب سور القدس الشريف ؟,     ثمانية أبواب : من الشرق باب الأسباط ، الباب الذهبي ، ومن الغرب باب النبي 
517ـ من هو الصحابي الذي دعى له الرسول الكريم بأن يلقى الله ضاحكاً ؟,     طلحة بن البراء
518ـ بماذا يعرف كتابة خط المصحف الشريف ؟,     بالرسم العثماني وهو خط الرقعة ويعرف بالبديع
519ـ ما أول حركة صدرت عن آدم عليه السلام ؟,     العطاس
520ـ ما اسم الملك الذي أمر بحرق سيدنا إبراهيم عليه السلام ؟,     النمرود
521ـ من حامل لواء المسلمين ببدروأحد ؟,     مصعب بن عمير
522ـ من الخليفة الذي أمر بترجمة الكتب إلى العربية ؟,     أبو جعفر المنصور .
523ـ ما اسم المنظمة الإسلامية للتربية والثقافة والعلوم؟,     الاسيسكو .
524ـ في أي عهد بنيت أول مآذنة في الإسلام ؟,     في عهد معاوية بن أبي سفيان وهي مآذنة المسجد الجامع الكبير في دمشق
525ـ كيف كان يؤذن بلال ؟,     كان يرتقي اسطوانة مرتفعة في دارعبدالله بن عمر المواجه للمسجد النبوي .
526ـ لمن الفقه الكبير؟,     للإمام أبو حنيفة بن نعمان الثابت ولد في بغداد توفي 150هـ
527ـ مادة عطرية تستعمل للتخدير ذكرت في القرآن ؟,     الكافور
528ـ ماهي معارك فلسطين بالترتيب ؟,     اليرموك ـ داثن ـ اجنادين ـ مرج الصفر ـ فحل بيسان .
529ـ كم تعادل الصلاة في المسجد الحرام ؟,     100ألف صلاة .
530ـ لماذا يطلق على مكة بكة ؟,     لأنها كانت تبك أي تكسر أعناق الجبابرة إذا أحدثوا فيها شيئاً
531ـ من القائل : عجزت النساء أن يلدن مثل خالد ؟,     أبو بكر الصديق .
532ـ من الذي لقب عمر بن الخطاب بأمير المؤمنين ؟,     لبيد بن ربيعة .
533ـ متى احتفل المسلمون بعيد الفطر ؟,     بالسنة الثانية للهجرة .
534ـ من الذي كان يصوم يوم ويفطر يوم ؟,     محمد بن سيرين
535ـ من هو الذي قال له الرسول صلى الله غليه وسلم أعني على نفسك بكثرة ,     السجود ؟
536ـ ماهي السورة التي حث الرسول صلى الله غليه وسلم فيها الناس على حفظها ؟,     النور .
537ـ ماهي الهجرة الثانية ؟,     هجرة النبي صلى الله غليه وسلم بصحبة أبي بكر رضي الله عنه إلى المدينة
538ـ من الذي استخلفه الرسول صلى الله غليه وسلم على النساء في موقعة تبوك ؟,     علي رضي الله عنه .
539ـ ما الدار التي كانت تجتمع فيها قريش قبل البعثة للتشاور في أمورها بمكة ,     المكرمة ؟
540ـ ماهي الهجرة الأولى ؟,     هجرة أصحاب النبي إلى الحبشة
541ـ من هم أصحاب الأعراف ؟,     قوم استوت حسناتهم بسيئاتهم فيكونون على جبل بين الجنة والنار إلى أن يقضي 
542ـ من هما سبطا الرسول صلى الله عليه وسلم ؟,     الحسن والحسين .
543ـ من الذي كتب الصحيفة التي نصت على مقاطعة بين بني هاشم وبني عبد المطلب,
منصور بن عكرمة وقد دعا عليه الرسول صلى الله عليه وسلم فشلت أصابعه .,
544ـ من هو الصحابي الذي تبناه الرسول صلى الله عليه وسلم وقال أنه ابني ارثه ,     ويرثني ؟
545ـ ماهي القبيلة التي دافعت عن الكعبة إثرهجوم إبرها ؟,     هوزيل .
546ـ من كاتب الرسول صلى الله عليه وسلم ؟,     عبد الله بن رواحه .
547ـ ثلاث من أولي العزم كفلتهم نساء من هم؟,     موسى عليه السلام كفلته امرأة فرعون ، وعيسى عليه السلام كفلته أمه مريم بنت 
548ـ هل أذن بلال بعد وفاة النبي صلى الله عليه وسلم ؟,     لا . لكن مرة واحد بطلب من عمر بن الخطاب في مؤتمر الجابية التي من نتائجها 
549ـ كم مرة ذكر شهر رمضان بالقرآن الكريم ؟,     مرة واحدة .
550ـ ما الفرق بين مكة وبكة ؟,     مكة هي كل المدينة من الكعبة المشرفة إلى البطحاء ، وبكة هي جزء من مكة أي 
551ـ ما الغار الذي كان اختبأ به الرسول صلى الله عليه وسلم ؟,     غار ثور
552ـ ما الغار الذي كان يتعبد به الرسول صلى الله عليه وسلم قبل البعثة ؟,     غار حراء
553ـ ما السورة التي تسمى سورة النبي ؟,     سورة التحريم .
554ـ من شعراء الرسول صلى الله عليه وسلم ؟,     حسان بن ثابت ، عبد الله بن رواحه ، كعب بن مالك
555ـ كم سنة استمرت الدعوة في مكة قبل الهجرة ؟,     13 سنة
556ـ ماهي العروة الوثقى ؟,     لا إله إلا الله .
557ـ ما معجزات عيسى عليه السلام ؟,     إحياء الموتى ـ إبراء الأكمه والأبرص ـ إخبار الناس بما يأكلون وما يدخرون في 
558ـ ما اسم ناقة الرسول صلى الله عليه وسلم ؟,     القصواء .
559ـ ماهي الغزوة التي جرح فيها الرسول صلى الله عليه وسلم وشج رأسه وكسرت ,     سنه ؟
560ـ كم عدد السرايا التي أرسلها الرسول صلى الله عليه وسلم ؟,     60 سرية
561ـ ما أول معركة وقعت بين المسلمين والروم ؟,     أجنادين قائدها عمرو بن العاص .
562ـ من أول يهودي أسلم ؟,     عبدالله بن سلام .
563ـ من أول شهيدة في الاسلام ؟,     سمية أم عمار بن ياسر
564ـ من أول المسلمين ؟,     الأرقم بن عبد مناف وهو مخزومي قرشي كان يجتمع المسلمون في بيته بمكة قبل 
565ـ من أول من كسى الكعبة بالقماش ؟,     تبع ملك حمير وكانت تكسى بالحصير سابقاً .
566ـ من أول من أسلم من العرب بعد الأنصار ؟,     أهل اليمن وعبد القيس أهل البحرين .
567ـ ما أول مدينة بنيت خارج الجزيرة العربية ؟,     البصرة وبناها عقبة المازني .
568ـ من أول من هاجر إلى المدينة من أصحاب الرسول صلى الله عليه وسلم ؟,     أبو سلمه عبدالله بن عبد الاسد بن هلال بن عبدالله بن مخزوم.. وهو من قريش
569ـ من أول من اجلي من أهل الكتاب من جزيرة العرب ؟,     بنو النضير .
570ـ من أول من يشفع يوم القيامة ؟,     هم الأنبياء ، ثم العلماء ، ثم الشهداء
571ـ كم عدد المشركين في غزوة بدر ؟,     1000 ثلاثة أضعاف المسلمين .
572ـ متى كانت وقعة بدر الكبرى ؟,     17/9/2هـ
573ـ ماهي كتب الصحاح الست ؟,     صحيحي البخاري ومسلم ، وسنن الترمذي والنسائي ، وأبي داود وابن ماجه .
574ـ ما المقصود بالجبت ؟,     الأصنام .
575ـ من اليهودية التي وضعت السم في طعام الرسول صلى الله عليه وسلم ؟,     زينب بنت الحارث امرأة سالم بن مشكم .
576ـ من خدم الرسول صلى الله عليه وسلم ؟,     أنس بن مالك ـ هند وأسماء ابنتا حارثة الأسلمي ـ أبو هريرة ـ سلمى ـ خضرة ـ 
577ـ من كان يشبه جبريل عليه السلام من الصحابة رضوان الله عليهم ؟,     دحية بن خليفة الكلبي رضي الله عنه وكان جميلاً أبيض جسيماًَ ..
578ـ مسجد القبلتين لماذا سمي بهذا الاسم ؟,     لصلاة الناس فيه صلاة واحدة بقبلتين حيث كان النبي صلى الله عليه وسلم يصلي 
579ـ زوجتين من زوجات الرسول صلى الله عليه وسلم لم تدفنا في بقيع الغرقد من ,     هن ؟
580ـ أين رسا فلك نوح بعد الطوفان ؟,     على الجودي وهي جبال في كردستان بإقليم بوتان شمال شرقي جزيرة ابن عمر
581ـ كم عدد الأضلاع التي شيدت عليها قبة الصخرة المشرفة بالقدس ؟,     8 أضلع .
582ـ اين يوجد مسجد عمر بن الخطاب ؟,     بدومة الجندل وينسب لعمر لقولهم انه بناه سنة 17هـ أثناء توجهه إلى بيت 
583ـ كم دام عام الرمادة ؟,     تسعة أشهرمن عام 18هـ وكان بالمدينة والحجاز وسمي بالرمادة لأن الريح كانت 
584ـ ما هو مقام إبراهيم ؟,     حجرأتى به إسماعيل لأبيه إبراهيم عليه السلام عندما ارتفع البيت عن قامته 
585ـ ما معنى حياك الله وبياك ؟,     بؤاك مكاناً عالياً .
586ـ متى كانت معركة احد ؟,     15/10/3هـ
587ـ متى تزوجت فاطمة بنت الرسول صلى الله عليه وسلم من علي رضي الله عنه ؟,     21/1/2هـ
588ـ ما هي المدينة المعروفة بمتجر قريش ؟,     الحبشة .
589ـ كم استغرقت رحلة نوح ؟,     150 يوماً واستقرت بهم على الجودي شهراً .
590ـ كم مكث قبل الطوفان نوح عليه السلام بين قومه ؟,     ألف سنة إلا خمسين عام وعاش بعد الطوفان 350 سنة
591ـ من قتل سمية بنت الخياط أم عمار بن ياسر؟,     أبو جهل .
592ـ ما اسم المعركة التي استشهدوا فيها أولاد الخنساء ؟,     القادسية عام 637هـ .
593ـ أين يوجد طريق الفيله الذي سلك لهدم الكعبة ؟,     في محافظة ظهران الجنوب سلكها أبرهة الأشرم حينما جهز جيشاً لهدم الكعبة حيث 
594ـ ما هي أكلة الثريد ؟,     فتة الخبز بالمرق .
595ـ من الذي هزم الروم بحراً واستولى على أسطولهم ؟,     العباس بن فضل .
596ـ من أين أتى اسم الكعبة ؟,     من الكعوب وهي الارتفاع .
597ـ ما هو عام الحزن ؟,     الذي توفى فيه أبي طالب وخديجة رضي الله عنها .
598ـ من سدنة الكعبة بالماضي والحاضر ؟,     بنو شيبة وهم بطن من قصي من قريش من العدنانية هذا في الماضي أما الحاضر فعبد 
599ـ من ثالث أبناء أدم وحواء ؟,     شيت
600ـ من هي المرأة التي أدعت النبوة من بني تميم ؟,     سجاح
601ـ من أول من دل على تركيب الأفلاك وعلومها ؟,     سيدنا ادريس عليه السلام .
602ـ من أول من أضاف المنارات بقباء المساجد ؟,     عمر بن عبدالعزيز وذلك عام 91هـ وقد استحدث المحراب لأول مرة
603ـ من أول مولود في الإسلام بعد الهجرة ؟,     عبد الله بن الزبير
604ـ من أول من حفر بئر زمزم ؟,     قصي بن كلاب .
605ـ ما أول أحاديث صحيح البخاري وما أخرها ؟,     أولها ( إنما الأعمال بالنيات ) أخرها ( كلمتان خفيفتان على اللسان ثقيلتان 
606ـ من أول مرضعة للرسول صلى الله عليه وسلم ؟,     ثويبة .
607ـ ما أول مسجد بني في الإسلام بمآذنه ؟,     الجامع الأموي وبناه عبد الملك بن مروان .
608ـ ما أول سورة نزلت بعد الهجرة ؟,     البقرة .
609ـ من أول من سن رحلتا الشتاء والصيف ؟,     هاشم بن عبد مناف بن قصي بن كلاب .
610ـ من أول من كسى الكعبة ؟,     أسعد الحميري : تيان أسعد أبوعرب
611ـ من أول من استشهد يوم بدر ؟ ومن قتله ؟,     مهجع مولى عمر بن الخطاب رضي الله عنه ، قتله عامر بن الحضرمي .
612ـ من أول من أفتى من الصحابة رضي الله عنهم ؟,     أبو بكر الصديق رضي الله عنه .
613ـ من أول من أذن في بلاد الروم ؟,     عبد الله بن طيب رضي الله عنه .
614ـ من أول من قسم الميراث في الجاهلية للذكر مثل حظ الأنثيين ؟,     عامر بن جثم اليشكري .
615ـ ما الاسم الذي يعرف به مسجد القبلتين بالمدينة المنورة ؟,     مسجد بني سلمه .
616ـ من أصحاب الأيكة وأين كان سكنهم ؟,     هم قوم شعيب وكانوا يسكنون مدين وهي قرية من أرض معان من أطراف الشام مما يلي 
617ـ قوم هود أين كان سكنهم ؟,     بالاحقاف باليمن وهم عاد الأولى الذين كانوا يسكنون الخيام ذوات الأعمدة 
618ـ كم كان عمر الرسول صلى الله عليه وسلم حين بعث للرسالة ؟,     40 عاماً .
619ـ متى طبع القرآن الكريم لأول مرة ؟,     عام 1113 في هامبورج بألمانيا .
620ـ متى كانت بيعة العقبة الأولى ؟,     سنة 12 للبعثة
621- ما أول ما يقضي بين الناس يوم القيامة ؟,     الدماء
622- ذكر في القرآن الكريم للريح اسم فما هو هذا الاسم ؟,     الذاريات
623- من هو حواري الرسول صلى الله علية وسلم ؟,     الزبير بن العوام
624- من هو الصحابي الذي صاحب الرسول عند خروجة إلى الطائف ؟,     زيد بن الحارثة
625- من أسماء ملائكة العذاب التي ذكرت في سورة العلق ؟,     الزبانية
626- من أول من اسلم من الموالي ؟,     زيد بن الحارثة
627- من هو زوج الصحابية أسماء بنت أبي بكر رضى الله عنهما ؟,     الزبير بن العوام
628- بما ذا كان يلقب على بن الحسين بن على بن أبي طالب ؟,     زين العابدين
629- من أشر النااس عند الله منزلة يوم القيامة ؟,     رجل يفضي إلى امرأته وتفضي اليه ثم ينشر سرها
630- من هو الصحابي الذي أشار بحفر الخندق ؟,     سلمان الفارسي
631- من هو الصحابي الذي اهتز لموتة عرش الرحمن ؟,     سعد بن معاذ رضي الله عنه
632- من هو أول من رمى سهم في سبيل الله و الملقب بذي (( العمامة )) ؟,     سعد بن أبي وقاص رضي الله عنه
633- ما عدد المصاحف التي كتبت في عهد عثمان بن عفان رضي الله عنه ؟,     سبع
634- الصحراء الذي أقام فيها موسي مع قومة بعد أن نجاهم الله من فرعون ؟,     سيناء
635- من هي زوجة إبراهيم وأم إسحاق عليهما السلام ؟,     سارة
636- صحابي جليل لقب (( الباحث عن الحقيقة )) فمن هو ؟,     سلمان الفارسي رضي الله عنه
637- إلي أين كانت رحلة الصيف لأهل مكة ؟,     الشام
638- إلى أين كانت رحلة الشتاء لأهل مكة ؟,     اليمن
639- بما ذا لقب حسان بن ثابت الأنصاري رضي الله عنة ؟,     شاعر الرسول صلى الله علية وسلم
640- ماهو الاسم الحقيقي لابن قيم الجوزية رحمة الله ؟,     شمس الدين محمد بن ابي بكر
641- من المرأة التي حرم الله عليها رائحة الجنة ؟,"     قال الرسول صلى الله علية وسلم : "" ايما امرأة سألت زوجها الطلاق من غير ما "
642- بماذا لقب الإمام العلامة احمد بن تيميه ؟,     شيخ الإسلام
643- ما هي آخر وصايا الرسول صلى الله علية وسلم قبل موتة ؟,     الصلاة الصلاة وما ملكت أيمانكم
644- ما أول ما يحاسب عليه العبد يوم القيامة ؟,     الصلاة
645ـ ما حكم من اغتصب أرضاً ؟,     طوقه الله إياه يوم القيامة من سبع أرضين
646- من سور القرآن الكريم التي بدأت بحرفين ؟,     طه
647- ما أجر من صام يوماً في سبيل الله ؟,     بعد الله وجهه عن النار سبعين خريفاً
648- من هو قائد رماة المسلمين في معركة احد ؟,     عبد الله بن جبير
649- من هو الصحابي الذي قال الرسول صلى الله عليه وسلم انه سيطأ الجنة ,     بعرجته ؟
650- بما ذا لقب الصحابي الجليل حنظلة بن عامر رضي الله عنه ؟,     غسيل الملائكة
651- ما هي الشجرةالتي سيحتمي خلفها اليهود اثناء حربهم مع المسلمين؟,     الغرقد
652- في أي بلدة ولد عيسي ابن مريم عليه السلام ؟,     بيت لحم / فلسطين
653- ماهي أعظم سورة في القرآن الكريم ؟,     سورة الفاتحة
654- من أول من لحق بالنبي صلى الله علية وسلم من أهله بعد موتة ؟ ,     فاطمة رضي الله عنها
655- بما ذا لقب عمر بن الخطاب رضي الله عنه ؟,     الفاروق
656- بما ذا تميزت أسماء بنت أبي بكر رضي الله عنه وعنها ؟,     أول فدائية في الإسلام
657- سورة بدأت بالحمد لله مثل سورة الفاتحة؟ ,     سورة فاطر
658- ماهى أطول كلمة في القرآن ن الكريم لفظا وكتابة بلا زيادة ؟,     فسيكفيكهم
659- ماهو اسم الصحابية (( أم هاني )) ؟,     فاختة بنت أبي طالب
660- من هو الملك الذي مزق كتاب الرسول صلى الله علية وسلم ؟,     كسرى ابرويز
661- ما هو الشيء الذي لا ينفذ ؟,     - كلام الله عز وجل
662- ما هو أول بيت وضع للعبادة في الأرض ؟ ,     - الكعبة المشرفة بمكة المكرمة
663- من هو الصحابي الذي وضع معالم الحرم التي لم تزل حتي الآن ؟,     - كرز بن علقمة
664- من هو اليهودي الذي سحر الرسول صلى الله علية وسلم ؟,     - لبيد بن الاعصم
665- في أي شهر يوم عاشوراء ؟,     - في شهر محرم
666- من هو أول والي مسلم في الأندلس ؟,     - موسي بن نصير
667- من أول من أم المسلمين في المدينة المنورة؟,     - مصعب بن عمير
668- من أول صحابي اسلم من الانصار ؟,     - معاذ بن عفراء
669- ملك آمن بالنبي واسلم ولم يره فلما مات صلى النبى علية صلاة الغائب ؟,     النجاشي ملك الحبشة
670- ماهو أول ما أكل آدم عليه السلام من ثمار الأرض حين هبط إليها؟,     النبق
671- من هي أول أمرأة اتخذت المنطق ؟,     - هاجر أم إسماعيل علية السلام
672- سورة في القرآن الكريم من قراها كل ليلة لم تصبة فاقة أبدا ؟,     - سورة الواقعة
673- ماهو ركن الحج الأعظم ؟,     - الوقوف بعرفة
674- ماهي اول غزوة غزها الرسول صلى الله علية وسلم ؟,     - ودان
675- من هو ورقة بن نوفل؟,     هو الرجل الذي عرف ان الرسول نبي هذة الأمة بعد أن أخبرته خديجة بحاله وآمن 
676- بم وصف القرآن الكريم ( ام جميل بنت حرب ) ؟,     - حمالة الحطب
677- من هو ابن السبيل ؟,     - المسافر
678- كم عدد سنوات نزول القرآن على الرسول؟,     - تم نزول القرآن على رسول الله في 23 سنة
679- ماهى أعظم آية في القرآن؟,     - أعظم آية في كتاب الله آية الكرسي آية 255
680- كم متراً أرتفاع الكعبة المشرفة؟,     - يبلغ ارتفاع الكعبة المشرفة 13 متراََ
682- ما هى العقيقة ؟,     العقيقة هي الذبيحة التي تُذبح عن المولود وهي سُنة مؤكدة
683- من هم الذين لا تجب عليهم صلاة الجمعة ؟,     هم : المرأة ، الصبي ، الصغير ، العبد ، المريض ، المسافر
684- ما هى السورة التي ورد لفظ الجلالة ( الله ) في كل آيه من آياتها ؟,     سورة المجادلة
685- في أى يوم تقوم الساعة ؟,     تقوم الساعة في يوم الجمعة
686- في أى سنة كان صلح الحديبية ؟,     كان صلح الحديبية في السنة السادسة للهجرة
687- ما هى الغزوة التي جرح فيها الرسول وشُج رأسه وكسرت سِنُّه ؟,     هي غزوة أحد
