,Question
439,كم عدد أبواب النار؟
440,كم سنة دامت خلافة أبو بكر الصديق رضي الله عنه؟
441,قال رسول الله صلى الله عليه وسلم: (هذا خالي فليرني امرِ خاله) فمن هو الصحابي الذي يقصده؟
442,ما هي آخر سورة نزلت في القرآن الكريم؟
443,كم دامت خلافة عثمان بن عفان رضي الله عنك؟
444,في أي سنة شرع شهر رمضان المبارك؟
445,ما هي الغزوة التي أسرت فيها الشيماء شقيقة الرسول صلى الله عليه وسلم في الرضاعة؟
446,كم عدد أبناء الرسول صلى الله عليه وسلم؟
447,من أول من أسلم من الأنصار؟
448,في أي سنة للهجرة توفي الرسول صلى الله عليه وسلم؟
449,متى لقب أبو بكر بالصديق؟
450,من مؤلف كتاب الجامع الصحيح؟
451,ما اسم الزوجة الرابعة بالترتيب التي تزوجها النبي صلى الله عليه وسلم؟
452,من هو الصحابي الملقب بذي النورين؟
453,قال تعالى في سورة الذاريات (فالجاريات يسرا) المقصود بالجاريات في الآية هو؟
454,من هي المرأة التي نذرت ما في بطنها محررا؟
455,قال تعالى في سورة القلم (فأصبحت كالصريم (20)) ما المقصود بالصريم؟
456,ما اسم الآية التي تنتهي آياتها بحرف السين؟
457,إلى أي قوم أرسل نبي الله شعيب عليه السلام؟
458,في أي سورة وردت الآية (يا أيها الناس اتقوا ربكم إن زلزلة الساعة شيء عظيم)؟
459,ما هي السورة التي تقع البسملة في وسطها؟
460,"كم مرة ورد لفظ ""بسم"" في القرآن الكريم؟"
461,"ما معنى ""القطر"" في قوله تعالى (وأسلنا له عين القطر)؟"
462,ما هو اللون الذي كانت تكسى به الكعبة قبل اللون الأسود؟
463,المسجد الأقصى هو ثاني مسجد وضع في الأرض بعد المسجد الحرام بمدة قدرها؟
464,متى فتح المسلمون مكة المكرمة؟
465,من الذي شيد قبة الصخرة المشرفة في القدس؟
466,من هو الملقب بأسد الله الغالب؟
467,من هو النبي الذي يقتل المسيح الدجال؟
468,من أول من لبس السروال؟
469,من أول من صنف تفسير القرآن الكريم بالإسناد؟
470,من أول من قاتل بالسيف؟
471,ما أول هدية الى الرسول صلى الله عليه وسلم بالمدينة؟
472,من هو الكافر الذي اعتبر رأس الكفر وفرعون الأمة؟
473,قال رسول الله صلى عليه وسلم (هذا خالي فليرني امرؤ خاله) فمن هو الصحابي الذي يقصده؟
474,من أسماء الخيل التي ذكرت في القرآن الكريم ما هي؟
475,ما هي نسبة الزكاة من المال الفائض بلغ النصاب؟
476,ما المقصود بقوله تعالى (من ذا الذي يقرض الله قرضا حسنا؟
477,ما هي السورة التي بدأت وانتهت بالتسبيح؟
478,أي من الأسماء التالي هو من أسماء الملائكة المذكور في القرآن الكريم؟
479,في أي شهر يوافق يوم عاشوراء؟
480,من أول مرضعة للرسول صلى الله عليه وسلم؟
481,في أي عام وقعت غزوة بني النضير؟
482,قال تعالى (كأنهم حمر مستنفرة (50) فرت من قسورة) مامعنى قسورة؟
483,ما اسم الصحابي الجليل أبو هريرة؟
484,من هو مؤذن الرسول صلى الله عليه وسلم؟
485,قال تعالى في سورة القمر (فنادوا صاحبهم فتعاطى فعقر) من هم القوم الذين تحدثن عنهم الآية؟
486,في أي سنة كان صلح الحديبية؟
487,ما السور التي ختمت باسم وقت من أوقات الصلاة؟
488,ما اسم أم النبي اسماعيل عليه السلام؟
489,من هو النبي الذي أقسم بحياته في القرآن الكريم؟
490,من هو أول داعية إسلامي؟
491,قائد المسلمين في معركة عين جالوت؟
492,من قائل لولا أن الموت أتاني لجعلت كل الدول الأوروبية إسلامية هو؟
493,من هو الخليفة الراشدي الذي قاد حروب الدرة؟
494,ما هي الدولة التي حكمت العالم الإسلامي بعد مرحلة الخلافة الراشدية؟
495,كم كان عدد المشركين في غزوة بدر؟
496,من هو أول خلفاء الدولة الأموية؟
497,متى فتح الفاروق عمر القدس الشريف؟
498,من هو النبي الذي كانت تسبح معه الجبال؟
499,سورة بدأت بالحمدلله مثل سورة الفاتحة؟
500,كم عدد السور التي ابتدأت بالحروف المقطعة (ألم)؟
501,من صاحب هذا الدعاء (ربنا اغفر لي ولوالدي وللمؤمنين يوم يقوم الحساب)؟
502,كم عدد أولاد وبنات النبي صلى الله عليه وسلم؟
503,من أول من أسلم من الصبيان؟
504,أين ورد قوله تعالى (واصبر لحكم ربك فإنك بأعيننا وسبح بحمد ربك حين تقوم ومن الليل فسبحه وإدبار النجوم)؟
505,قال تعال في سورة التين (وهذا البلد الأمين (3)) ما هو البلد الأمين؟
506,كم عدد بنات النبي صلى الله عليه وسلم؟
507,قال تعالى (والذاريات ذروا) ما المقصود بالذاريات؟
508,من هو النبي الذي أرسل الى قوم عاد؟
509,قال تعال في سورة القصص (فخسفنا به وبداره الأرض) من هو الذي خسف الله به الأرض؟
510,من هو النبي الذي كانت زوجته كافرة؟
511,من هو الصحابي الذي كان يلقب بأبي المساكين وحين استشهد لقب بذي الجناحين؟
512,بماذا لقب اسماعيل عليه السلام؟
513,من هو أول ملك فرعوني آمن بالتوحيد؟
514,من من الخلفاء الراشدين كان الأكبر سنا عندما لقى ربه؟
515,في أي عام هجري توفي أمير المؤمنين عمر بن الخطاب؟
516,كم سنة دامت خلافة عثمان بن عفان رضي الله عنه؟
517,كم عدد زوجات الرسول صلى الله عليه وسلم؟
518,في أي سورة ورد اسم يوم القيامة (الطامة)؟
519,ما هو الشيء الذي ذكر في القرآن أنه يتنفس ولا روح له؟
520,الأنفال، كلمة وردت في القرآن الكريم فماذا تعني؟
521,في أي سنة توفي الرسول صلى الله عليه وسلم؟
522,من أول من قتل من المشركين في غزوة بدر الكبرى؟
523,ما اسم والدة مريم العذراء؟
524,كم عدد المواضع التي أقسم الله بنفسه في القرآن الكريم؟
525,ما هو ثاني مسجد في الإسلام؟
526,ما أول ما نزل من التوراة؟
527,من أول من هاجر من المسلمين إلى الحبشة؟
528,كم عدد من قتل من المسلمين في غزوة مؤتة؟
529,ما هي السورة التي تسمى سورة المنافقين؟
530,ما اسم امرأة لوط؟
531,في أي سنة حج النبي صلى الله عليه وسلم حجة الوداع؟
532,ما هي صلاة البردين؟
533,من أكثر الأنبياء ذكراً بالقرآن؟
534,من سمى الجمعة الجمعة؟
535,ماهي السورة التي تسمى القتال؟
536,ما هو الطائر الذي تحدث مع النبي سليمان عليه السلام؟
537,من هو أول داعية في تاريخ الإسلام؟
538,ماذا كانت تعبد ملكة سبأ بلقيس وقومها من دون الله؟
539,من هو أول من بنى السجون في الإسلام؟
540,من هي أول فدائية في الإسلام؟
541,ما هو أول ما يرفع من أعمال هذه الأمة؟
542,ما هي كفارة الحلف بالله؟
543,في أي الصلوات يجتمع ملائكة الليل والنهار؟
544,متى أسلم أبو قحافة والد أبي بكر؟
545,على من يطلق لقب المصدود؟
546,كم تعادل الصلاة في المسجد الحرام؟
547,من هو أول جبار لعنه الله في الأرض؟
548,صيام هذا اليوم يكفر السنة التي قبله والسنة التي بعده؟
549,عندما نزلت الصلاة أول مرة كان عددها...؟
550,كم سنة ضلت الدعوة الإسلامية سرا؟
551,الطيور التي أرسلها الله تعالى لإنقاذ الكعبة من أبرهة كانت تحمل؟
552,ما هو اسم الجبل الذي رست عليه سفينة نوح عليه السلام؟
553,كانت لقريش رحلتان في فصلي؟
554,ما هو العذاب الذي وقع على قوم ثمود؟
555,قال تعال (وزرابي مبثوثة) سورة الغاشية (16)، ما المقصود ب(زرابي)؟
556,ما المقصود بيوم الفرقان الذي ذكره الله تعالى في القرآن الكريم؟
557,قال تعالى (وفرعون ذي الأوتاد) سورة الفجر (10)، ما المقصود ب(الأوتاد)؟
558,ما السورة التي سميت بسورة الكليم؟
559,من هو أول من سمى القرآن مصحفا؟
560,ما هي السورة التي بدأت بإسم أحد الجبال؟
561,ما معنى قوله تعاله (وطلح منضود)؟
562,ما هي السورة التي تنتهي جميع آياتها بحرف الدال؟
563,ما هي أول آية نزلت في القرآن الكريم؟
564,كم استغرق نزول القرآن الكريم؟
565,من هو أول نبي تحدث باللغة العربية؟
566,من هو النبي الذي يلقب بإسرائيل؟
567,كم كان يبلغ طول آدم عليه السلام؟
568,من هو النبي الذي أمره الله تعالى أن يأخذ الكتاب بقوة؟
569,من هو أول نبي خاط الثياب ولبسها؟
570,كم نبيا ذكر في سورة الأنبياء؟
571,كم كان عدد إخوة يوسف عليه السلام؟
572,من هو النبي الذي كان قومه ينحتون الجبال بيوتا؟
573,كم مكث سيدنا ابراهيم عليه السلام في النار التي ألقي بها؟
574,من هو أول من جعل تاريخ الهجرة النبوية بداية للتاريخ؟
575,من هو الصحابي الذي أكل مع الرسول صلى الله عليه وسلم يوم خيبر من الشاه المسمومة ومات؟
576,من أول من استشهد من الصحابة في المعارك؟
577,من هو الملقب بالجواد بن الجواد؟
578,من هو الصحابي الذي استمعت إاليه الملائكة وهو يقرأ سورة البقرة؟
579,من القائل: (فلا نامت أعين الجبناء)؟
580,من هو الصحابي الملقب بيوسف هذه الأمة؟
581,من هو أول من رمى بسهم في سبيل الله؟
582,عندما توفي قال عنه عمر: مات اليوم سيد المسلمين، فمن هو؟
583,من هو الصحابي الذي تولى حراسة الرسول صلى الله عليه وسلم يوم بدر؟
584,ما هو نصاب الذهب الذي تجب فيه الزكاة؟
585,ما هي السورة التي ذكرت البسملة فيها مرتين؟
586,من هو أول من يقرع باب الجنة؟
587,ماذا كان يعمل نبي الله نوح عليه السلام؟
588,من هو النبي الذي ظهرت عند قدميه مياه زمزم؟
589,أين توفي بلال بن رباح؟
590,ما هي السورة التي تعدل ثلث القرآن الكريم؟
591,من هو رفيق الرسول صلى الله عليه وسلم في رحلة الهجرة؟
592,أين ولد عليه الصلاة والسلام؟
593,كم كان عمر الرسول صلى الله عليه وسلم عندما سافر إلى الشام لأول مرة مع عمه أبي طالب؟
594,ما هو لقب الرسول صلى الله عليه وسلم؟
595,بعث الرسول محمد صلى الله عليه وسلم لدعوة؟
596,من هي أُم الرسول صلى الله عليه وسلم؟
597,من هو أمين سر الرسول صلى الله عليه وسلم؟
598,ما هي الغزوة التي جُرح فيها الرسول صلى الله عليه وسلم وشُجّ رأسه وكُسرت سنه؟
599,ما هي معجزة الرسول صلى الله عليه وسلم الخالدة؟
600,ما هي السورة تعدل ثلث القرآن؟
601,فيمن نزلت هذه الآيات (وَسَيُجَنَّبُهَا الأَتْقَى الَّذِي يُؤْتِي مَالَهُ يَتَزَكَّى وَمَا لأَحَدٍ عِنْدَهُ مِنْ نِعْمَةٍ تُجْزَى إِلاَّ ابْتِغَاءَ وَجْهِ رَبِّهِ الأَعْلَى وَلَسَوْفَ يَرْضَى)؟
602,سورة أمر الرسول صلى الله عليه وسلم أحد الصحابة بقراءتها قبل النوم لأنها براءة من الشرك .. فماهي؟
603,من هما النبيان اللذان جاء ذكرهما في سورة واحدة في جزء عم؟
604,كم عدد السجدات الموجودة في جزء عم؟
605,أي من هذه الحيوانات ذكرت في جزء عم؟
606,كم عدد سور جزء عم؟
607,في أي سورة ذكرت هذه الآية (أَلَمْ يَجِدْكَ يَتِيمًا فَآوَىٰ (6))؟
608,كم عدد آيات سورة الكوثر؟
609,سورة في جزء عم تنتهي بإسم سورة؟
610,ما حكم الميم الساكنة في قوله تعالى (إليهم بهدية)؟
611,للميم الساكنة ثلاثة أحكام هي الإدغام، الإخفاء والإظهار؟
612,ما حكم الميم الساكنة في قوله تعالى (إن كنتم صادقين)؟
613,تخفى الميم الساكنة إذا جاء بعدها حرف؟
614,ما حكم الميم الساكنة في الآية الكريمة (إن كنتم مؤمنين)؟
615,إذا وقعت الميم المتحركة بعد الميم الساكنة وجب الإخفاء؟
616,ما حكم الميم الساكنة في قوله تعالى (ذرأكم في الأرض)؟
617,إذا أتى بعد الميم الساكنة باء يكون حكم الميم إظهار؟
618,ما هي حروف الإظهار في أحكام الميم الساكنة؟
619,ما هي حروف الإدغام في أحكام الميم الساكنة؟
620,ما حكم النون الساكنة في (من ربهم)؟
621,ما حكم التنوين في (سميعا بصيرا)؟
622,ما حكم النون المشددة في كلمة (جان)؟
623,ما حكم النون الساكنة في (الدنيا)؟
624,يجب إظهار النون الساكنة في كلمة (بنيان)؟
625,حروف الإدغام بغنة مجموعة في كلمة (يرملون)؟
626,ما حكم التنوين في قوله تعالى (في جنة عالية)؟
627,ما حكم النون في قوله تعالى (ألا إن أولياء الله لا خوف عليهم ولا هم يحزنزن)؟
628,ماذا تمثل الحروف المجموعة في أوائل الكلمات الآتية: أخي هاك علما حازه غير خاسر؟
629,تقلب النون الساكنة والتنوين إلى ميم إذا جاء بعدها حرف؟
630,من هو مؤسس علم التجويد؟
631,ما حكم التنوين في قوله تعالى (وَإِنَّكَ لَعَلى خُلُقٍ عَظِيمٍ)؟
632,ما حكم المد في الآية الكريمة (وَلَا يُوثِقُ وَثَاقَهُ أَحَدٌ)؟
633,ما حكم اللام في لفظ الجلالة في قوله تعالى (أَلَيْسَ اللَّهُ بِأَحْكَمِ الْحَاكِمِينَ)؟
634,ما حكم النون الساكنة في قوله تعالى (أَيَحْسَبُ أَن لَّمْ يَرَهُ أَحَدٌ)؟
635,ما حكم المد في الآية الكريمة (وَمَا أَدْرَاكَ مَا سَقَرُ)؟
636,ما حكم التنوين في قوله تعالى (وَجَنَّاتٍ أَلْفَافًا)؟
637,معنى الإظهار الحلقي اصطلاحا هو البيان والوضوح؟
638,ما هو سبب الإظهار؟
639,ما حكم النون المشددة في كلمة عم؟
